Наименование остановки,Автобус,Трамвай,Троллейбус,Маршрутное такси,"Широта 
(ГСК-2011)","Долгота 
(ГСК-2011)","Широта 
(МСК-61)","Долгота 
(МСК-61)"
Дом №111,"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5",,,"96, 66, 63, 58, 14",47.24949,39.71956,"424798,174030959","2204441,8297591"
Дом №117,34а,,,,47.20612,39.64552,"420070,077847589","2198754,349066"
Дом №129/2,34а,,,,47.20453,39.63766,"419903,550382768","2198155,81658685"
Дом №30,34а,,,44,47.2082,39.64676,"420299,707340393","2198852,25318804"
Дом №72,34а,,,44,47.20453,39.63728,"419904,046816125","2198127,02638355"
Дом Ветеранов,,,,30,47.28985,39.71081,"429295,924854196","2203852,68637811"
Дом Ветеранов,,,,30,47.28964,39.70979,"429273,838370549","2203775,149833"
Дом детского творчества,"65, 63",,,"65, 63, 38, 29, 11",47.29879,39.71272,"430287,467308957","2204013,36611725"
Дом детского творчества,"65, 63",,,"65, 63, 29, 11",47.29874,39.71228,"430282,451214602","2203979,99848069"
Дом обуви,,,,"99, 90, 78, 58, 45, 44, 43, 38, 11, 6",47.21861,39.7085,"421378,767810547","2203548,49157862"
Домики,"80, 70, 68, 54",,22,"80, 66, 55, 53",47.23412,39.78965,"423005,848347816","2209721,48734213"
Домики,"80, 70, 68, 54",,22,"80, 66, 55, 53",47.23395,39.7912,"422985,154202762","2209838,56745275"
Домики,"96, 22",,,"96, 30, 29, 19",47.27371,39.75741,"427445,077293784","2207349,39960559"
Домики,"94, 90",,,"94, 30, 29, 19",47.27418,39.75594,"427499,079145695","2207238,99410564"
Дом-интернат,"80, 70, 68, 54",,22,"88, 80, 67, 66, 63, 55, 53, 14",47.23815,39.82627,"423412,101845087","2212501,06876435"
Донагроснаб,,,,"48, 40, 16",47.23786,39.59571,"423664,585584519","2195043,42477137"
Донагроснаб,,,,"48, 40, 16",47.23774,39.59563,"423651,352576673","2195037,13016683"
"Еременко, 97/29","71, 67",,,,47.23245,39.59971,"423057,76044038","2195335,62208945"
"ЖК ""Европейский""",41,,,,47.20244,39.64987,"419655,323216216","2199076,92199085"
"ЖК ""Красные ворота""",,,,24,47.24299,39.77766,"424005,919406174","2208828,82287505"
"ЖК ""Платовский""",35а,,,"92, 90",47.31824,39.79068,"432356,641531065","2209942,5446708"
ЖК 50-летия Победы,"99, 96, 94, 49, 10",,,"99, 96, 94, 49, 10",47.26038,39.6511,"426095,098585804","2199280,10710812"
ЖК 50-летия Победы,"99, 96, 94, 49, 10",,,"99, 96, 94, 49, 10",47.25905,39.64841,"425950,719366157","2199073,98569524"
ЖК Акварель,37,,,"20, 12",47.22485,39.66732,"422124,266236809","2200441,06372586"
ЖК Александровский,,,,"88, 67, 63, 14",47.23905,39.79895,"423543,20150116","2210434,02185435"
ЖСК,"99, 96, 94, 49, 10",,,"99, 96, 94, 49, 10",47.25753,39.64205,"425789,995228212","2198589,71624044"
ЖСК,"99, 96, 94, 49, 10",,,"99, 96, 94, 49, 10",47.25724,39.6437,"425755,608307799","2198714,04790537"
